"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"5","5","0","OLD","20215315","스위치","2023-01-04","273529199","7.1","42202779","18.2","1132230074","27877","3370","13.8","117286","872","3004"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","131690007","3.4","22138081","20.2","7707057822","12488","1626","15","754496","306","510"
"7","7","0","OLD","20227762","올빼미","2022-11-23","40528484","1.1","11205924","38.2","32318430197","3938","944","31.5","3277399","202","276"
"8","8","0","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","30377197","0.8","6037297","24.8","3789521537","3220","534","19.9","397200","176","201"
"9","9","1","OLD","20210140","젠틀맨","2022-12-28","18858691","0.5","3146404","20","1938291062","2307","530","29.8","204907","212","262"
"10","10","-1","OLD","20228652","3000년의 기다림","2023-01-04","18492589","0.5","1065596","6.1","75627436","1897","9","0.5","7449","161","220"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","3408251318","41.9","1772510228","108.4","106665472827","251726","133992","113.8","8554074","1454","4672"
"2","2","0","OLD","20196478","영웅","2022-12-21","1365196965","16.8","741496983","118.9","20585860790","133408","70036","110.5","2097702","924","2811"
"3","3","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","1370307256","16.8","749796737","120.8","3095077013","129238","69766","117.3","299514","1023","2673"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","888433225","10.9","506356008","132.5","2151304171","91168","50151","122.3","229369","922","2677"
"5","5","0","OLD","20215315","스위치","2023-01-04","574826971","7.1","301297772","110.2","1707057045","56582","28705","103","173868","906","2912"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","208825958","2.6","77135951","58.6","7915883780","19398","6910","55.3","773894","309","517"
"7","7","0","OLD","20227762","올빼미","2022-11-23","84250857","1.0","43722373","107.9","32402681054","8016","4078","103.6","3285415","204","282"
"8","8","0","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","62661710","0.8","32284513","106.3","3852183247","6309","3089","95.9","403509","208","237"
"9","9","0","OLD","20210140","젠틀맨","2022-12-28","41808092","0.5","22949401","121.7","1980099154","4397","2090","90.6","209304","192","233"
"10","10","0","OLD","20228652","3000년의 기다림","2023-01-04","25685492","0.3","7192903","38.9","101312928","2389","492","25.9","9838","173","229"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","2970060027","40.1","-438191291","-12.9","109635532854","222534","-29192","-11.6","8776608","1439","4495"
"2","2","0","OLD","20196478","영웅","2022-12-21","1278854920","17.3","-86342045","-6.3","21864715710","125892","-7516","-5.6","2223594","927","2746"
"3","3","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","1263213165","17.0","-107094091","-7.8","4358290178","120605","-8633","-6.7","420119","1022","2660"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","843131365","11.4","-45301860","-5.1","2994435536","86726","-4442","-4.9","316095","924","2611"
"5","5","0","OLD","20215315","스위치","2023-01-04","520628516","7.0","-54198455","-9.4","2227685561","50992","-5590","-9.9","224860","912","2798"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","232557320","3.1","23731362","11.4","8148441100","21527","2129","11","795421","321","521"
"7","7","1","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","71916691","1.0","9254981","14.8","3924099938","7322","1013","16.1","410831","214","244"
"8","8","-1","OLD","20227762","올빼미","2022-11-23","63333535","0.9","-20917322","-24.8","32466014589","6012","-2004","-25","3291427","189","264"
"9","9","0","OLD","20210140","젠틀맨","2022-12-28","41420477","0.6","-387615","-0.9","2021519631","4205","-192","-4.4","213509","192","229"
"10","10","0","OLD","20228652","3000년의 기다림","2023-01-04","20907554","0.3","-4777938","-18.6","122220482","2021","-368","-15.4","11859","168","215"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","950414824","40.6","-2019645203","-68","110585947678","70516","-152018","-68.3","8847124","1348","4045"
"2","2","1","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","436131578","18.6","-827081587","-65.5","4794421756","43229","-77376","-64.2","463348","940","2618"
"3","3","-1","OLD","20196478","영웅","2022-12-21","383346199","16.4","-895508721","-70","22248061909","39871","-86021","-68.3","2263465","796","2569"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","193221924","8.3","-649909441","-77.1","3187657460","21071","-65655","-75.7","337166","764","2131"
"5","5","0","OLD","20215315","스위치","2023-01-04","158312176","6.8","-362316340","-69.6","2385997737","16435","-34557","-67.8","241295","800","2461"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","96070157","4.1","-136487163","-58.7","8244511257","9426","-12101","-56.2","804847","311","544"
"7","7","1","OLD","20227762","올빼미","2022-11-23","24459432","1.0","-38874103","-61.4","32490474021","2407","-3605","-60","3293834","197","270"
"8","8","1","OLD","20210140","젠틀맨","2022-12-28","11220196","0.5","-30200281","-72.9","2032739827","1672","-2533","-60.2","215181","140","156"
"9","9","-2","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","15755598","0.7","-56161093","-78.1","3939855536","1670","-5652","-77.2","412501","154","177"
"10","10","0","OLD","20228652","3000년의 기다림","2023-01-04","10004290","0.4","-10903264","-52.1","132224772","1082","-939","-46.5","12941","145","192"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","850591259","38.3","-99823565","-10.5","111436538937","63373","-7143","-10.1","8910497","1350","4017"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","388556090","17.5","-47575488","-10.9","5182977846","38514","-4715","-10.9","501862","953","2618"
"3","3","0","OLD","20196478","영웅","2022-12-21","363405267","16.4","-19940932","-5.2","22611467176","37874","-1997","-5","2301339","823","2556"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","202416907","9.1","9194983","4.8","3390074367","22556","1485","7","359722","785","2112"
"5","5","0","OLD","20215315","스위치","2023-01-04","176339877","7.9","18027701","11.4","2562337614","20109","3674","22.4","261404","831","2470"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","100524642","4.5","4454485","4.6","8345035899","9841","415","4.4","814688","324","552"
"7","7","0","OLD","20227762","올빼미","2022-11-23","21622363","1.0","-2837069","-11.6","32512096384","2140","-267","-11.1","3295974","202","277"
"8","8","2","OLD","20228652","3000년의 기다림","2023-01-04","15350788","0.7","5346498","53.4","147575560","2041","959","88.6","14982","143","204"
"9","9","0","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","14920998","0.7","-834600","-5.3","3954776534","1594","-76","-4.6","414095","145","163"
"10","10","-2","OLD","20210140","젠틀맨","2022-12-28","8530393","0.4","-2689803","-24","2041270220","1237","-435","-26","216418","140","164"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","773184257","35.4","-77407002","-9.1","112209723194","56896","-6477","-10.2","8967393","1328","3801"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","473923451","21.7","85367361","22","5656901297","47241","8727","22.7","549103","915","3052"
"3","3","0","OLD","20196478","영웅","2022-12-21","362967900","16.6","-437367","-0.1","22974435076","38130","256","0.7","2339469","871","2932"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","174001468","8.0","-28415439","-14","3564075835","19414","-3142","-13.9","379136","715","1856"
"5","5","0","OLD","20215315","스위치","2023-01-04","131358252","6.0","-44981625","-25.5","2693695866","14695","-5414","-26.9","276099","748","2063"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","99964658","4.6","-559984","-0.6","8445000557","9874","33","0.3","824562","358","695"
"7","7","0","NEW","20214823","유령","2023-01-18","44330000","2.0","44330000","100","44330000","4919","4919","100","4919","10","19"
"8","8","-1","OLD","20227762","올빼미","2022-11-23","25012196","1.1","3389833","15.7","32537108580","2435","295","13.8","3298409","238","323"
"9","9","0","NEW","20228255","프린스 챠밍","2023-01-11","9671000","0.4","9671000","100","12835000","1324","1324","100","1776","146","175"
"10","10","9","OLD","20224723","시간을 꿈꾸는 소녀","2023-01-11","9880600","0.5","7330600","287.5","22987600","1143","888","348.2","2571","77","100"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","735902322","36.3","-37281935","-4.8","112945625516","54684","-2212","-3.9","9022077","1336","3797"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","407360080","20.1","-66563371","-14","6064261377","40576","-6665","-14.1","589679","940","3063"
"3","3","0","OLD","20196478","영웅","2022-12-21","335053804","16.5","-27914096","-7.7","23309488880","35111","-3019","-7.9","2374580","873","2909"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","178725111","8.8","4723643","2.7","3742800946","20037","623","3.2","399173","734","1856"
"5","5","0","OLD","20215315","스위치","2023-01-04","108978552","5.4","-22379700","-17","2802674418","12008","-2687","-18.3","288107","726","1963"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","97547784","4.8","-2416874","-2.4","8542548341","9617","-257","-2.6","834179","366","715"
"7","7","0","OLD","20214823","유령","2023-01-18","34403000","1.7","-9927000","-22.4","78733000","3272","-1647","-33.5","8191","15","16"
"8","8","0","OLD","20227762","올빼미","2022-11-23","25345365","1.2","333169","1.3","32562453945","2488","53","2.2","3300897","248","332"
"9","9","0","OLD","20228255","프린스 챠밍","2023-01-11","9432100","0.5","-238900","-2.5","22267100","1202","-122","-9.2","2978","140","166"
"10","10","3","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","9006600","0.4","687500","8.3","3972102234","1032","112","12.2","416047","106","115"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","1071312042","38.2","335409720","45.6","114016937558","74486","19802","36.2","9096563","1379","4044"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","666718361","23.8","259358281","63.7","6730979738","63697","23121","57","653376","987","3256"
"3","3","0","OLD","20196478","영웅","2022-12-21","454697636","16.2","119643832","35.7","23764186516","45553","10442","29.7","2420133","920","3095"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","208804929","7.5","30079818","16.8","3951605875","22563","2526","12.6","421736","752","1845"
"5","5","0","OLD","20215315","스위치","2023-01-04","134161437","4.8","25182885","23.1","2936835855","14587","2579","21.5","302694","738","2022"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","104508414","3.7","6960630","7.1","8647056755","9723","106","1.1","843902","366","751"
"7","7","1","OLD","20227762","올빼미","2022-11-23","34787278","1.2","9441913","37.3","32597241223","3242","754","30.3","3304139","259","364"
"8","8","0","NEW","20190808","교섭","2023-01-18","15219000","0.5","15219000","100","18009000","1397","1397","100","1676","4","4"
"9","9","0","OLD","20228255","프린스 챠밍","2023-01-11","9749300","0.3","317200","3.4","32016400","1170","-32","-2.7","4148","142","171"
"10","10","0","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","10081896","0.4","1075296","11.9","3982184130","1022","-10","-1","417069","111","127"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","2343725725","37.0","1272413683","118.8","116360663283","169086","94600","127","9265649","1409","4303"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","1608265970","25.4","941547609","141.2","8339245708","153322","89625","140.7","806698","1042","3503"
"3","3","0","OLD","20196478","영웅","2022-12-21","980389701","15.5","525692065","115.6","24744576217","96428","50875","111.7","2516561","965","3287"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","595657570","9.4","386852641","185.3","4547263445","61320","38757","171.8","483056","814","2050"
"5","5","0","OLD","20215315","스위치","2023-01-04","276073942","4.4","141912505","105.8","3212909797","29376","14789","101.4","332070","733","2073"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","219716609","3.5","115208195","110.2","8866773364","20281","10558","108.6","864183","373","787"
"7","7","0","OLD","20227762","올빼미","2022-11-23","81901326","1.3","47114048","135.4","32679142549","7461","4219","130.1","3311600","257","384"
"8","8","2","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","39242692","0.6","29160796","289.2","4021426822","3983","2961","289.7","421052","153","186"
"9","9","0","OLD","20228255","프린스 챠밍","2023-01-11","29383900","0.5","19634600","201.4","61400300","3117","1947","166.4","7265","181","244"
"10","10","2","OLD","20228644","문맨","2023-01-11","10824019","0.2","4302121","66","37981916","1598","884","123.8","4614","101","120"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","2040883707","36.6","-302842018","-12.9","118401546990","148709","-20377","-12.1","9414358","1390","4158"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","1328806649","23.8","-279459321","-17.4","9668052357","128236","-25086","-16.4","934934","1035","3417"
"3","3","0","OLD","20196478","영웅","2022-12-21","897854687","16.1","-82535014","-8.4","25642430904","88237","-8191","-8.5","2604798","937","3175"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","558153592","10.0","-37503978","-6.3","5105417037","57323","-3997","-6.5","540379","814","2024"
"5","5","0","OLD","20215315","스위치","2023-01-04","242257572","4.3","-33816370","-12.2","3455167369","25863","-3513","-12","357933","714","1972"
"6","6","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","259493565","4.7","39776956","18.1","9126266929","23530","3249","16","887713","391","800"
"7","7","0","OLD","20227762","올빼미","2022-11-23","64865978","1.2","-17035348","-20.8","32744008527","5911","-1550","-20.8","3317511","238","362"
"8","8","0","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","42088596","0.8","2845904","7.3","4063515418","4315","332","8.3","425367","155","186"
"9","9","0","OLD","20228255","프린스 챠밍","2023-01-11","27846000","0.5","-1537900","-5.2","89246300","2938","-179","-5.7","10203","177","236"
"10","10","1","OLD","20228308","극장판 뽀로로와 친구들: 바이러스를 없애줘!","2022-12-01","14168700","0.3","2627500","22.8","1924051100","1475","218","17.3","213710","63","65"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","677380143","39.0","-1363503564","-66.8","119078927133","48885","-99824","-67.1","9463243","1262","3656"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","405865573","23.4","-922941076","-69.5","10073917930","40257","-87979","-68.6","975191","953","3241"
"3","3","0","OLD","20196478","영웅","2022-12-21","266905098","15.4","-630949589","-70.3","25909336002","27590","-60647","-68.7","2632388","840","2867"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","128690185","7.4","-429463407","-76.9","5234107222","14271","-43052","-75.1","554650","667","1598"
"5","5","1","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","97975532","5.6","-161518033","-62.2","9224242461","9575","-13955","-59.3","897288","358","771"
"6","6","-1","OLD","20215315","스위치","2023-01-04","65156974","3.8","-177100598","-73.1","3520324343","7028","-18835","-72.8","364961","619","1551"
"7","7","48","OLD","20214823","유령","2023-01-18","20032000","1.2","19862000","11683.5","99401000","2232","2201","7100","10537","9","10"
"8","8","-1","OLD","20227762","올빼미","2022-11-23","22189477","1.3","-42676501","-65.8","32766198004","2142","-3769","-63.8","3319653","239","345"
"9","9","-1","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","7526100","0.4","-34562496","-82.1","4071041518","816","-3499","-81.1","426183","109","123"
"10","10","-1","OLD","20228255","프린스 챠밍","2023-01-11","4567900","0.3","-23278100","-83.6","93814200","544","-2394","-81.5","10747","107","130"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20225061","아바타: 물의 길","2022-12-14","646968030","38.3","-30412113","-4.5","119725895163","47019","-1866","-3.8","9510262","1290","3669"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","383031252","22.7","-22834321","-5.6","10456949182","38025","-2232","-5.5","1013216","960","3227"
"3","3","0","OLD","20196478","영웅","2022-12-21","262049375","15.5","-4855723","-1.8","26171385377","27097","-493","-1.8","2659485","851","2890"
"4","4","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","141579177","8.4","12888992","10","5375686399","15993","1722","12.1","570643","688","1673"
"5","5","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","106885054","6.3","8909522","9.1","9331127515","10457","882","9.2","907745","373","787"
"6","6","0","OLD","20215315","스위치","2023-01-04","63074485","3.7","-2082489","-3.2","3583398828","6921","-107","-1.5","371882","621","1517"
"7","7","1","OLD","20227762","올빼미","2022-11-23","20835380","1.2","-1354097","-6.1","32787033384","2008","-134","-6.3","3321661","238","345"
"8","8","2","OLD","20228255","프린스 챠밍","2023-01-11","10405900","0.6","5838000","127.8","104220100","1688","1144","210.3","12435","147","178"
"9","9","0","OLD","20228640","신비아파트 극장판 차원도깨비와 7개의 세계","2022-12-14","8166100","0.5","640000","8.5","4079207618","884","68","8.3","427067","108","117"
"10","10","2","OLD","20224723","시간을 꿈꾸는 소녀","2023-01-11","5392699","0.3","2879700","114.6","59882395","708","383","117.8","7328","60","76"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","NEW","20190808","교섭","2023-01-18","998963192","39.0","998963192","100","1016972192","104795","104795","100","106471","1289","5986"
"2","2","48","OLD","20214823","유령","2023-01-18","400603149","15.6","400498149","381426.8","500109149","41498","41480","230444.4","52053","1099","3922"
"3","3","-1","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","378419939","14.8","-4611313","-1.2","10835369121","37714","-311","-0.8","1050930","725","2047"
"4","4","-3","OLD","20225061","아바타: 물의 길","2022-12-14","365348267","14.2","-281619763","-43.5","120091243430","26246","-20773","-44.2","9536508","708","1565"
"5","5","-2","OLD","20196478","영웅","2022-12-21","140704743","5.5","-121344632","-46.3","26312090120","14833","-12264","-45.3","2674318","648","1301"
"6","6","-2","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","67207091","2.6","-74372086","-52.5","5442893490","7838","-8155","-51","578481","416","532"
"7","7","0","NEW","20228895","캐리와 슈퍼콜라","2023-01-18","47239113","1.8","47239113","100","59427113","5429","5429","100","6561","340","418"
"8","8","-3","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","54324048","2.1","-52561006","-49.2","9385451563","5312","-5145","-49.2","913057","251","374"
"9","9","0","NEW","20229166","라일 라일 크로커다일","2023-01-18","46156410","1.8","46156410","100","48451410","5098","5098","100","5353","371","650"
"10","10","-4","OLD","20215315","스위치","2023-01-04","14700200","0.6","-48374285","-76.7","3598099028","1650","-5271","-76.2","373532","180","333"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20190808","교섭","2023-01-18","650786476","30.7","-348176716","-34.9","1667758668","67513","-37282","-35.6","173984","1279","5821"
"2","2","1","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","347809385","16.4","-30610554","-8.1","11183178506","34504","-3210","-8.5","1085434","752","2111"
"3","3","-1","OLD","20214823","유령","2023-01-18","288479677","13.6","-112123472","-28","788588826","29793","-11705","-28.2","81846","1045","3582"
"4","4","0","OLD","20225061","아바타: 물의 길","2022-12-14","393443863","18.6","28095596","7.7","120484687293","28683","2437","9.3","9565191","727","1610"
"5","5","0","OLD","20196478","영웅","2022-12-21","147713019","7.0","7008276","5","26459803139","15371","538","3.6","2689689","660","1329"
"6","6","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","67282636","3.2","75545","0.1","5510176126","7787","-51","-0.7","586268","425","555"
"7","7","1","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","64639853","3.0","10315805","19","9450091416","6278","966","18.2","919335","286","429"
"8","8","1","OLD","20229166","라일 라일 크로커다일","2023-01-18","40011610","1.9","-6144800","-13.3","88463020","4415","-683","-13.4","9768","361","627"
"9","9","-2","OLD","20228895","캐리와 슈퍼콜라","2023-01-18","32386414","1.5","-14852699","-31.4","91813527","3771","-1658","-30.5","10332","328","385"
"10","10","0","OLD","20215315","스위치","2023-01-04","19619899","0.9","4919699","33.5","3617718927","2501","851","51.6","376033","185","342"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20190808","교섭","2023-01-18","937772286","27.8","286985810","44.1","2605530954","91472","23959","35.5","265456","1281","6064"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","761028245","22.6","413218860","118.8","11944206751","71885","37381","108.3","1157319","835","2374"
"3","3","1","OLD","20225061","아바타: 물의 길","2022-12-14","731725530","21.7","338281667","86","121216412823","49712","21029","73.3","9614903","757","1732"
"4","4","-1","OLD","20214823","유령","2023-01-18","361825057","10.7","73345380","25.4","1150413883","35189","5396","18.1","117035","1045","3575"
"5","5","0","OLD","20196478","영웅","2022-12-21","241417723","7.2","93704704","63.4","26701220862","23643","8272","53.8","2713332","710","1452"
"6","6","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","82613848","2.4","15331212","22.8","5592789974","8913","1126","14.5","595181","458","599"
"7","7","0","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","81126563","2.4","16486710","25.5","9531217979","7569","1291","20.6","926904","302","476"
"8","8","0","OLD","20229166","라일 라일 크로커다일","2023-01-18","48281686","1.4","8270076","20.7","136744706","5017","602","13.6","14785","383","639"
"9","9","0","OLD","20228895","캐리와 슈퍼콜라","2023-01-18","34866794","1.0","2480380","7.7","126680321","3873","102","2.7","14205","323","390"
"10","10","0","OLD","20215315","스위치","2023-01-04","29515395","0.9","9895496","50.4","3647234322","3830","1329","53.1","379863","200","391"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20190808","교섭","2023-01-18","1705050218","29.6","767277932","81.8","4310581172","163179","71707","78.4","428635","1281","5864"
"2","2","0","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","1095050559","19.0","334022314","43.9","13039257310","102660","30775","42.8","1259979","1008","2835"
"3","3","0","OLD","20225061","아바타: 물의 길","2022-12-14","1291148442","22.4","559422912","76.5","122507561265","90918","41206","82.9","9705821","851","2032"
"4","4","0","OLD","20214823","유령","2023-01-18","603734394","10.5","241909337","66.9","1754148277","57268","22079","62.7","174303","936","3172"
"5","5","0","OLD","20196478","영웅","2022-12-21","454257024","7.9","212839301","88.2","27155477886","43505","19862","84","2756837","799","1599"
"6","6","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","195712698","3.4","113098850","136.9","5788502672","19840","10927","122.6","615021","641","877"
"7","7","2","OLD","20228895","캐리와 슈퍼콜라","2023-01-18","120929780","2.1","86062986","246.8","247610101","12687","8814","227.6","26892","462","601"
"8","8","-1","OLD","20228313","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2022-11-30","89005391","1.5","7878828","9.7","9620223370","8154","585","7.7","935058","315","494"
"9","9","1","OLD","20215315","스위치","2023-01-04","56443595","1.0","26928200","91.2","3703677917","6928","3098","80.9","386791","201","405"
"10","10","-2","OLD","20229166","라일 라일 크로커다일","2023-01-18","66442054","1.2","18160368","37.6","203186760","6671","1654","33","21456","384","601"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20190808","교섭","2023-01-18","2472624642","35.3","767574424","45","6783205814","232034","68855","42.2","660669","1266","5738"
"2","2","1","OLD","20225061","아바타: 물의 길","2022-12-14","1648420904","23.5","357272462","27.7","124155982169","116153","25235","27.8","9821974","864","2073"
"3","3","-1","OLD","20228555","더 퍼스트 슬램덩크","2023-01-04","995034655","14.2","-100015904","-9.1","14034291965","91380","-11280","-11","1351359","1026","2915"
"4","4","0","OLD","20214823","유령","2023-01-18","757532406","10.8","153798012","25.5","2511680683","71436","14168","24.7","245739","929","2995"
"5","5","0","OLD","20196478","영웅","2022-12-21","633863813","9.0","179606789","39.5","27789341699","60037","16532","38","2816874","816","1644"
"6","6","0","OLD","20224109","장화신은 고양이: 끝내주는 모험","2023-01-04","180275625","2.6","-15437073","-7.9","5968778297","17610","-2230","-11.2","632631","614","828"
"7","7","2","OLD","20215315","스위치","2023-01-04","86460395","1.2","30016800","53.2","3790138312","9740","2812","40.6","396531","203","422"
"8","8","-1","OLD","20228895","캐리와 슈퍼콜라","2023-01-18","62097635","0.9","-58832145","-48.6","309707736","6325","-6362","-50.1","33217","407","503"
